kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
A0,M3-R1-T0,M3-R1,M3,1,0,3347507.0,0.0026437269507856337,
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,-0.08215108702001683,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,-0.09317772007088207,6287.282023184237
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,0.08567009474143031,464.92545793853736
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,0.0896587123494686,1482.0
B0,M3-R2-T0,M3-R2,M3,2,0,9830037.0,0.0017964769789976722,
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,0.1803724071914583,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,0.028692880170993,13104.70654144727
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-0.13829192721892647,7860.820491879209
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,-0.07077336014352476,13341.81300813008
C0,M3-R3-T0,M3-R3,M3,3,0,1413632.0,0.0015030203010355145,
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,0.08492997490020462,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,0.032423255240786764,11411.618900665668
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.06014680493082397,1528.7538305428977
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,-0.05720642521016739,8043.067750677506
D0,M3-R4-T0,M3-R4,M3,4,0,1452457.0,0.0016048919960334166,
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.13677175973427,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,-0.02753741675225249,2520.538603666617
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,0.04921864920927399,2528.3414875262392
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,0.1150905272772485,2062.5765027322404
3-0,EC3-R1-T0,EC3-R1,EC3,1,0,609514.0,0.002222609327746563,
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,0.15958939317760307,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,-0.06764630204895816,833.1629662148057
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-0.04735422052457139,480.24545371956685
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,-0.044588870604073544,570.6216216216217
3-0,EC3-R2-T0,EC3-R2,EC3,2,0,609514.0,0.00046055192093074916,
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,0.06206907736563061,1125.7368421052631
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,-0.01884994576581613,725.9985637060158
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,-0.09406564331105183,587.6795080179418
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,0.05084651171123736,351.9561403508772
