kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
A0,M3-R1-T0,M3-R1,M3,1,0,3347507.0,0.014558787198305093,
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,-0.0037360367611616514,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,0.004409902968774176,6236.356948228883
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,0.014951317216758488,454.4223433242507
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,0.005525131626382228,1482.0
B0,M3-R2-T0,M3-R2,M3,2,0,9830037.0,0.009893051185225012,
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,0.014061188744332868,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,0.0011376881438035513,12750.753387533876
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-0.0032716489567067935,7617.620596205962
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,-0.00255033775955997,13341.81300813008
C0,M3-R3-T0,M3-R3,M3,3,0,1413632.0,0.008277009360216197,
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,0.006357639410217263,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,-0.0006396285709337826,11229.704607046071
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.008219648096610976,1492.1680216802167
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,0.0012154563246524496,8043.067750677506
D0,M3-R4-T0,M3-R4,M3,4,0,1452457.0,0.008838008418218144,
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.006216254270262015,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,-0.013238700884439448,2483.1830601092897
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,-0.0038101379690044564,2501.8688524590166
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,0.003618647455233302,2062.5765027322404
3-0,EC3-R1-T0,EC3-R1,EC3,1,0,609514.0,0.012239727033086454,
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,-0.009282557790143807,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,0.0042233481934951704,806.1081081081081
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-0.0005377558859528889,451.43243243243245
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,-0.0012148291362007223,570.6216216216217
3-0,EC3-R2-T0,EC3-R2,EC3,2,0,609514.0,0.0025362216051127632,
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,0.012487604425367742,1125.7368421052631
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,0.014473305122612818,711.921052631579
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,-0.005258657409324883,567.359649122807
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,-0.001723286276471145,351.9561403508772
3-0,EC3-R3-T0,EC3-R3,EC3,3,0,609514.0,0.013372642810388887,
3-1-3,EC3-R3-T1,EC3-R3,EC3,3,1,1259539.0,-0.013138122396317087,846.5454545454545
3-2-3,EC3-R3-T2,EC3-R3,EC3,3,2,2051769.0,-0.0038298348735730943,775.9494949494949
3-3-3,EC3-R3-T3,EC3-R3,EC3,3,3,2431569.0,0.009542980993261818,546.7676767676768
3-4-3,EC3-R3-T4,EC3-R3,EC3,3,4,3161827.0,-0.011409574671297914,509.32323232323233
23-0,EC23-R1-T0,EC23-R1,EC23,1,0,1530803.0,0.0005727148503286372,
23-1-1,EC23-R1-T1,EC23-R1,EC23,1,1,1227998.0,-0.007035806559983129,1867.9824046920821
23-2-1,EC23-R1-T2,EC23-R1,EC23,1,2,1664821.0,0.011333099230274764,1870.032258064516
23-3-1,EC23-R1-T3,EC23-R1,EC23,1,3,1498190.0,-0.010948629032305306,1144.483870967742
23-4-1,EC23-R1-T4,EC23-R1,EC23,1,4,1940380.0,0.016330122320429366,927.7888563049853
23-0,EC23-R2-T0,EC23-R2,EC23,2,0,1530803.0,0.0016238874646417577,
23-1-2,EC23-R2-T1,EC23-R2,EC23,2,1,1477496.0,0.0034384182625091415,2239.254385964912
23-2-2,EC23-R2-T2,EC23-R2,EC23,2,2,1960979.0,0.005516273235424287,2393.4181286549706
23-3-2,EC23-R2-T3,EC23-R2,EC23,2,3,2166322.0,-0.010331782456078858,1874.1812865497077
23-4-2,EC23-R2-T4,EC23-R2,EC23,2,4,2421463.0,0.007414526635213417,1344.169590643275
23-0,EC23-R3-T0,EC23-R3,EC23,3,0,1530803.0,-0.025301742803851338,
23-1-3,EC23-R3-T1,EC23-R3,EC23,3,1,1229373.0,7.799197927647857e-05,1912.1788856304986
23-2-3,EC23-R3-T2,EC23-R3,EC23,3,2,1839677.0,-4.973174322490331e-07,2313.991202346041
23-3-3,EC23-R3-T3,EC23-R3,EC23,3,3,1491357.0,-0.0027878319339404703,1452.4633431085044
23-4-3,EC23-R3-T4,EC23-R3,EC23,3,4,1807631.0,-0.00670149172855116,1324.7888563049853
21-0-1,EC21-R1-T0,EC21-R1,EC21,1,0,1984340.0,0.011091730302215748,
21-1-1,EC21-R1-T1,EC21-R1,EC21,1,1,648164.0,-0.005689830418857649,877.6873065015479
21-2-1,EC21-R1-T2,EC21-R1,EC21,1,2,1538389.0,-0.008781342290281888,1568.2229102167182
21-3-1,EC21-R1-T3,EC21-R1,EC21,1,3,1106350.0,-0.005365714835444702,786.5325077399381
21-4-1,EC21-R1-T4,EC21-R1,EC21,1,4,1758008.0,-6.836443962434108e-05,839.3715170278638
21-0-1,EC21-R2-T0,EC21-R2,EC21,2,0,1984340.0,0.012630208357280397,
21-1-2,EC21-R2-T1,EC21-R2,EC21,2,1,486568.0,-0.0035282994065792784,687.8612099644129
21-2-2,EC21-R2-T2,EC21-R2,EC21,2,2,485523.0,0.007981352116456179,520.3167259786477
21-3-2,EC21-R2-T3,EC21-R2,EC21,2,3,1224148.0,0.013952231987709337,959.6761565836299
21-4-2,EC21-R2-T4,EC21-R2,EC21,2,4,1721069.0,-0.013713523811713048,964.1565836298932
21-0-1,EC21-R3-T0,EC21-R3,EC21,3,0,1984340.0,-0.0010241378316967298,
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,-0.00266526850731611,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.005924027571635423,1528.5735294117646
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,0.006386041895925312,1640.644117647059
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,-0.0016836191111406938,1031.9823529411765
20-1-1,EC20-R1-T0,EC20-R1,EC20,1,0,398922.0,-0.004845013551426137,
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,-0.0006473056851682911,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-0.009883302232840117,1455.179411764706
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,-0.0036406581456062633,617.385294117647
20-1-2,EC20-R2-T0,EC20-R2,EC20,2,0,1296857.0,0.0037302223413118304,
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.015861137033221555,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.0015809756196652255,1331.4382352941177
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.009623107194394933,1126.3441176470587
20-1-3,EC20-R3-T0,EC20-R3,EC20,3,0,1345720.0,-0.00304846106822945,
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,-0.003233754143846311,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,0.022530239747577393,1578.6382352941177
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,0.009703626039728887,1741.8764705882354
18-1-1,EC18-R1-T0,EC18-R1,EC18,1,0,289364.0,-0.01352860808044623,
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,-0.0006535386412473699,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,0.01009627253895978,954.9470899470899
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,0.006300173274696206,1297.037037037037
18-1-2,EC18-R2-T0,EC18-R2,EC18,2,0,288742.0,0.005823084578428449,
18-2-2,EC18-R2-T1,EC18-R2,EC18,2,1,265563.0,-0.015395477915859252,197.30674846625766
18-3-2,EC18-R2-T2,EC18-R2,EC18,2,2,672289.0,-0.004519514296535258,291.2147239263804
18-4-2,EC18-R2-T3,EC18-R2,EC18,2,3,6473793.0,0.004763398319714247,1659.0981595092026
18-1-3,EC18-R3-T0,EC18-R3,EC18,3,0,197126.0,0.004280165753327703,
18-2-3,EC18-R3-T1,EC18-R3,EC18,3,1,1361173.0,-0.007290502395335427,912.0669144981413
18-3-3,EC18-R3-T2,EC18-R3,EC18,3,2,2640350.0,-0.012970470934087534,1039.732342007435
18-4-3,EC18-R3-T3,EC18-R3,EC18,3,3,3884866.0,0.004800432773482805,824.9665427509294
13-0,EC13-R1-T0,EC13-R1,EC13,1,0,21149.0,-0.018887182926287965,
13-1-1,EC13-R1-T1,EC13-R1,EC13,1,1,1138999.0,-0.0003448448605001227,1064.1460674157304
13-2-1,EC13-R1-T2,EC13-R1,EC13,1,2,2399880.0,-0.007242136937489357,1230.9775280898875
13-3-1,EC13-R1-T3,EC13-R1,EC13,1,3,3950750.0,0.004442698746228049,900.4082397003746
13-4-1,EC13-R1-T4,EC13-R1,EC13,1,4,1473942.0,0.01070806178729733,163.77153558052436
13-0,EC13-R2-T0,EC13-R2,EC13,2,0,21149.0,0.002595172630128347,
13-1-2,EC13-R2-T1,EC13-R2,EC13,2,1,1310835.0,-0.015942432202424462,1201.236
13-2-2,EC13-R2-T2,EC13-R2,EC13,2,2,1712743.0,0.026132925456503697,872.536
13-3-2,EC13-R2-T3,EC13-R2,EC13,2,3,3287883.0,-0.006877118080976813,710.592
13-4-2,EC13-R2-T4,EC13-R2,EC13,2,4,1655167.0,-6.884449722033059e-05,177.632
13-0,EC13-R3-T0,EC13-R3,EC13,3,0,21149.0,7.2005592360175e-05,
13-1-3,EC13-R3-T1,EC13-R3,EC13,3,1,1122575.0,-0.01902926105938103,1227.958549222798
13-2-3,EC13-R3-T2,EC13-R3,EC13,3,2,366483.0,-0.001999499252695245,225.0777202072539
13-3-3,EC13-R3-T3,EC13-R3,EC13,3,3,2938992.0,-0.0024535073777517016,859.300518134715
13-4-3,EC13-R3-T4,EC13-R3,EC13,3,4,1016186.0,-0.006763666917521386,160.41450777202073
E0,Baffled-R1-T0,Baffled-R1,Baffled,1,0,2340563.0,0.006641378131085483,
E1,Baffled-R1-T1,Baffled-R1,Baffled,1,1,6229520.0,-0.016288052403608217,7603.939726027397
E2,Baffled-R1-T2,Baffled-R1,Baffled,1,2,2166425.0,-0.016300489311048053,1810.6986301369864
E3,Baffled-R1-T3,Baffled-R1,Baffled,1,3,928842.0,0.013316297859974853,514.3369863013698
E4,Baffled-R1-T4,Baffled-R1,Baffled,1,4,7440597.0,-0.0019550755762386706,2466.4438356164383
F0,Baffled-R2-T0,Baffled-R2,Baffled,2,0,1569410.0,-5.609061449321222e-05,
F1,Baffled-R2-T1,Baffled-R2,Baffled,2,1,5377148.0,-0.005302036371684375,6182.114130434783
F2,Baffled-R2-T2,Baffled-R2,Baffled,2,2,4003224.0,-0.0010664729311150288,3185.461956521739
F3,Baffled-R2-T3,Baffled-R2,Baffled,2,3,9610137.0,-0.0017166083747518213,4896.975543478261
F4,Baffled-R2-T4,Baffled-R2,Baffled,2,4,9000954.0,-0.0020060637712966756,2669.6684782608695
I0,1.8%Gluc-R1-T0,1.8%Gluc-R1,1.8%Gluc,1,0,3494929.0,-0.016845192573227984,
I1,1.8%Gluc-R1-T1,1.8%Gluc-R1,1.8%Gluc,1,1,3944246.0,-0.007456460547552395,5028.840659340659
I2,1.8%Gluc-R1-T2,1.8%Gluc-R1,1.8%Gluc,1,2,2010910.0,-0.00533994529950971,1966.1483516483515
I3,1.8%Gluc-R1-T3,1.8%Gluc-R1,1.8%Gluc,1,3,336244.0,0.0012892750596858074,245.13186813186815
I4,1.8%Gluc-R1-T4,1.8%Gluc-R1,1.8%Gluc,1,4,681736.0,0.008621285051802126,362.22802197802196
J0,1.8%Gluc-R2-T0,1.8%Gluc-R2,1.8%Gluc,2,0,862618.0,-0.01605366208853209,
J1,1.8%Gluc-R2-T1,1.8%Gluc-R2,1.8%Gluc,2,1,3090634.0,-0.006220453621379628,3737.9972222222223
J2,1.8%Gluc-R2-T2,1.8%Gluc-R2,1.8%Gluc,2,2,2188349.0,0.00618790900027221,2023.4027777777778
J3,1.8%Gluc-R2-T3,1.8%Gluc-R2,1.8%Gluc,2,3,384946.0,-0.01878413195113916,268.52222222222224
J4,1.8%Gluc-R2-T4,1.8%Gluc-R2,1.8%Gluc,2,4,620947.0,0.002692017531604249,286.74444444444447
1.6%-T0,1.6%Gluc-R1-T0,1.6%Gluc-R1,1.6%Gluc,1,0,49202.0,-0.01892342329328504,
1.6%-R1-T1,1.6%Gluc-R1-T1,1.6%Gluc-R1,1.6%Gluc,1,1,144748.0,0.01131030003395158,299.5970149253731
1.6%-R1-T2,1.6%Gluc-R1-T2,1.6%Gluc-R1,1.6%Gluc,1,2,186883.0,-0.0011970048717231195,304.8955223880597
1.6%-R1-T3,1.6%Gluc-R1-T3,1.6%Gluc-R1,1.6%Gluc,1,3,239999.0,-0.008330320965864722,303.5223880597015
