kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
A0,M3-R1-T0,M3-R1,M3,1,0,3347507.0,0.0032596527807750445,
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,0.08087193726278341,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,-0.1274813429182989,6304.073862792312
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,0.010422499149226811,464.7467022509387
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,0.03460131070190783,1482.0
B0,M3-R2-T0,M3-R2,M3,2,0,9830037.0,0.0022150136111628036,
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,0.06438512611557547,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,-0.022219361268659293,13133.916140410734
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-0.14500287884584032,7904.990212080435
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,0.10599335100169571,13341.81300813008
C0,M3-R3-T0,M3-R3,M3,3,0,1413632.0,0.001853188470305465,
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,0.07648932054805678,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,-0.0936108670254073,11417.876054964006
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.015997133716761827,1531.8815255349944
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,0.056805596989599354,8043.067750677506
D0,M3-R4-T0,M3-R4,M3,4,0,1452457.0,0.0019787938599934956,
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.00331308951077906,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,-0.009338893568991773,2517.560677332154
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,0.02222685654767749,2526.3073818232842
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,-0.012043185571974587,2062.5765027322404
3-0,EC3-R1-T0,EC3-R1,EC3,1,0,609514.0,0.002740424715045805,
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,0.1622061253633316,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,-0.20244002211150186,822.6772007549379
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-0.08349938563528195,477.40878615528976
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,0.12267552439945648,570.6216216216217
3-0,EC3-R2-T0,EC3-R2,EC3,2,0,609514.0,0.0005678496220296439,
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,0.11626693993393417,1125.7368421052631
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,-0.20726261447074332,720.4158040841797
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,0.06726970185044912,579.7425705562517
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,0.024946563708875817,351.9561403508772
3-0,EC3-R3-T0,EC3-R3,EC3,3,0,609514.0,0.0029940799140377727,
