chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count
dBFA2-02M_NaCl-R1-Time8,dBFA2:02M.NaCl-R1-8,dBFA2:02M.NaCl-R1,dBFA2,02M.NaCl,R1,8,2199508
dBFA2-02M_NaCl-R1-Time16,dBFA2:02M.NaCl-R1-16,dBFA2:02M.NaCl-R1,dBFA2,02M.NaCl,R1,16,3713816
dBFA2-02M_NaCl-R1-Time24,dBFA2:02M.NaCl-R1-24,dBFA2:02M.NaCl-R1,dBFA2,02M.NaCl,R1,24,3275213
dBFA2-02M_NaCl-R1-Time32,dBFA2:02M.NaCl-R1-32,dBFA2:02M.NaCl-R1,dBFA2,02M.NaCl,R1,32,3933406
dBFA2-02M_NaCl-R1-Time40,dBFA2:02M.NaCl-R1-40,dBFA2:02M.NaCl-R1,dBFA2,02M.NaCl,R1,40,4037236
dBFA2-02M_NaCl-R2-Time8,dBFA2:02M.NaCl-R2-8,dBFA2:02M.NaCl-R2,dBFA2,02M.NaCl,R2,8,3598043
dBFA2-02M_NaCl-R2-Time16,dBFA2:02M.NaCl-R2-16,dBFA2:02M.NaCl-R2,dBFA2,02M.NaCl,R2,16,15018309
dBFA2-02M_NaCl-R2-Time24,dBFA2:02M.NaCl-R2-24,dBFA2:02M.NaCl-R2,dBFA2,02M.NaCl,R2,24,2809486
dBFA2-02M_NaCl-R2-Time32,dBFA2:02M.NaCl-R2-32,dBFA2:02M.NaCl-R2,dBFA2,02M.NaCl,R2,32,1117325
dBFA2-02M_NaCl-R2-Time40,dBFA2:02M.NaCl-R2-40,dBFA2:02M.NaCl-R2,dBFA2,02M.NaCl,R2,40,3209032
dBFA2-02M_NaCl-R3-Time8,dBFA2:02M.NaCl-R3-8,dBFA2:02M.NaCl-R3,dBFA2,02M.NaCl,R3,8,980149
dBFA2-02M_NaCl-R3-Time16,dBFA2:02M.NaCl-R3-16,dBFA2:02M.NaCl-R3,dBFA2,02M.NaCl,R3,16,512034
dBFA2-02M_NaCl-R3-Time24,dBFA2:02M.NaCl-R3-24,dBFA2:02M.NaCl-R3,dBFA2,02M.NaCl,R3,24,122759
dBFA2-02M_NaCl-R3-Time32,dBFA2:02M.NaCl-R3-32,dBFA2:02M.NaCl-R3,dBFA2,02M.NaCl,R3,32,154865
dBFA2-02M_NaCl-R3-Time40,dBFA2:02M.NaCl-R3-40,dBFA2:02M.NaCl-R3,dBFA2,02M.NaCl,R3,40,335817
dBFA2-21C-R1-Time8,dBFA2:21C-R1-8,dBFA2:21C-R1,dBFA2,21C,R1,8,4855234
dBFA2-21C-R1-Time16,dBFA2:21C-R1-16,dBFA2:21C-R1,dBFA2,21C,R1,16,4391575
