chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-8,hBFA1:21C-R1,hBFA1,21C,R1,8,1917150,-3.876197330610634e-05,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-16,hBFA1:21C-R1,hBFA1,21C,R1,16,2168035,-0.008917236265647797,786.6904151717068
hBFA1-21C-R1-Time24,hBFA1:21C-R1-24,hBFA1:21C-R1,hBFA1,21C,R1,24,2068099,0.006668845989646332,728.2916453100974
hBFA1-21C-R1-Time40,hBFA1:21C-R1-40,hBFA1:21C-R1,hBFA1,21C,R1,40,2118452,-0.004399484268229123,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-8,hBFA1:21C-R2,hBFA1,21C,R2,8,2111700,0.004464115651261334,742.2044887780548
hBFA1-21C-R2-Time16,hBFA1:21C-R2-16,hBFA1:21C-R2,hBFA1,21C,R2,16,2150472,-0.0045726229316442775,766.7211970074814
hBFA1-21C-R2-Time24,hBFA1:21C-R2-24,hBFA1:21C-R2,hBFA1,21C,R2,24,2022493,-0.013126336114742778,702.7775561097257
hBFA1-21C-R2-Time40,hBFA1:21C-R2-40,hBFA1:21C-R2,hBFA1,21C,R2,40,2465801,-0.024595318699756744,670.5441396508728
hBFA1-37C-R1-Time8,hBFA1:37C-R1-8,hBFA1:37C-R1,hBFA1,37C,R1,8,1816186,0.006305797311991435,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-16,hBFA1:37C-R1,hBFA1,37C,R1,16,1992657,0.005448810723474983,694.3030927835051
hBFA1-37C-R1-Time24,hBFA1:37C-R1-24,hBFA1:37C-R1,hBFA1,37C,R1,24,2071290,-0.014051095902265706,687.261855670103
hBFA1-37C-R1-Time40,hBFA1:37C-R1-40,hBFA1:37C-R1,hBFA1,37C,R1,40,2032937,0.00464629545499876,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-8,hBFA1:37C-R2,hBFA1,37C,R2,8,2408886,0.00700123418778182,840.7478216299334
hBFA1-37C-R2-Time16,hBFA1:37C-R2-16,hBFA1:37C-R2,hBFA1,37C,R2,16,2371746,0.0016682307315008132,827.7683239364428
hBFA1-37C-R2-Time24,hBFA1:37C-R2-24,hBFA1:37C-R2,hBFA1,37C,R2,24,1886703,0.01221771627749853,628.2419272168119
hBFA1-37C-R2-Time40,hBFA1:37C-R2-40,hBFA1:37C-R2,hBFA1,37C,R2,40,2169673,-0.011464361743867193,611.2901076371091
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,8,1374578,0.0036603253824717785,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,16,2073939,0.0063268692602253184,732.3771339886188
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,24,1913013,0.01968030494657448,627.7630625969995
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,40,2727518,0.012320252864294945,747.0858768753234
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,8,2527232,-0.0022252899830466546,903.0810531750129
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,16,2122894,-0.008044340392512665,742.6344863190501
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,24,2181970,-0.008867211049739433,716.0485286525555
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,40,2019366,-0.0032397751378618134,560.1032524522458
hBFA1-FLC4-R2-Time8,hBFA1:FLC4-R2-8,hBFA1:FLC4-R2,hBFA1,FLC4,R2,8,810857,0.013911902511891144,698.9560439560439
hBFA1-FLC4-R2-Time16,hBFA1:FLC4-R2-16,hBFA1:FLC4-R2,hBFA1,FLC4,R2,16,338485,-0.014788863330748317,363.5274725274725
hBFA1-FLC4-R2-Time24,hBFA1:FLC4-R2-24,hBFA1:FLC4-R2,hBFA1,FLC4,R2,24,450288,0.010772032858428888,461.5164835164835
hBFA1-FLC4-R2-Time40,hBFA1:FLC4-R2-40,hBFA1:FLC4-R2,hBFA1,FLC4,R2,40,501961,-0.00750654385487348,525.5384615384615
hBFA1-GlyEtOH-R1-Time8,hBFA1:GlyEtOH-R1-8,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,8,1648916,-0.0038118856520147665,854.186936936937
hBFA1-GlyEtOH-R1-Time16,hBFA1:GlyEtOH-R1-16,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,16,1563435,-0.003978688701069165,657.1306306306307
hBFA1-GlyEtOH-R1-Time24,hBFA1:GlyEtOH-R1-24,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,24,1157783,0.00958016491617428,391.68468468468467
hBFA1-GlyEtOH-R1-Time40,hBFA1:GlyEtOH-R1-40,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,40,2457444,-0.0010114482022836283,408.81756756756755
hBFA1-GlyEtOH-R2-Time8,hBFA1:GlyEtOH-R2-8,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,8,1729100,0.015280317536170346,659.2631166797181
hBFA1-GlyEtOH-R2-Time16,hBFA1:GlyEtOH-R2-16,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,16,3351420,0.004396677117255408,934.8238057948316
hBFA1-GlyEtOH-R2-Time24,hBFA1:GlyEtOH-R2-24,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,24,2923374,-0.004243932877805028,557.4518402505873
hBFA1-GlyEtOH-R2-Time40,hBFA1:GlyEtOH-R2-40,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,40,2283582,0.015509533627408265,188.79091620986688
hBFA1-SC-R1-Time8,hBFA1:SC-R1-8,hBFA1:SC-R1,hBFA1,SC,R1,8,1575308,-0.005920548021377166,599.010455104551
hBFA1-SC-R1-Time16,hBFA1:SC-R1-16,hBFA1:SC-R1,hBFA1,SC,R1,16,1552685,-0.007608013623164801,603.7915129151291
hBFA1-SC-R1-Time24,hBFA1:SC-R1-24,hBFA1:SC-R1,hBFA1,SC,R1,24,1584986,0.014698435292879461,599.2687576875769
hBFA1-SC-R1-Time40,hBFA1:SC-R1-40,hBFA1:SC-R1,hBFA1,SC,R1,40,1558740,0.00031946542027842275,504.81242312423126
hBFA1-SC-R2-Time8,hBFA1:SC-R2-8,hBFA1:SC-R2,hBFA1,SC,R2,8,1883034,-0.012909975845556263,688.8059299191375
hBFA1-SC-R2-Time16,hBFA1:SC-R2-16,hBFA1:SC-R2,hBFA1,SC,R2,16,1737092,-0.00718691396760617,632.7045822102426
hBFA1-SC-R2-Time24,hBFA1:SC-R2-24,hBFA1:SC-R2,hBFA1,SC,R2,24,1867711,-0.002422354082823952,665.4485175202157
hBFA1-SC-R2-Time40,hBFA1:SC-R2-40,hBFA1:SC-R2,hBFA1,SC,R2,40,1759607,0.008767751726837051,547.7266846361186
hBFA1-YPD-R1-Time8,hBFA1:YPD-R1-8,hBFA1:YPD-R1,hBFA1,YPD,R1,8,1328214,-0.004511739638225673,445.36561743341406
hBFA1-YPD-R1-Time16,hBFA1:YPD-R1-16,hBFA1:YPD-R1,hBFA1,YPD,R1,16,1884894,-0.014555071785460089,611.3476997578692
hBFA1-YPD-R1-Time24,hBFA1:YPD-R1-24,hBFA1:YPD-R1,hBFA1,YPD,R1,24,3388195,-0.013928076765138913,1020.6619854721549
hBFA1-YPD-R1-Time40,hBFA1:YPD-R1-40,hBFA1:YPD-R1,hBFA1,YPD,R1,40,1850120,0.012689721631450606,404.84261501210653
hBFA1-YPD-R2-Time8,hBFA1:YPD-R2-8,hBFA1:YPD-R2,hBFA1,YPD,R2,8,1712142,0.000315911839848841,589.0238821138212
hBFA1-YPD-R2-Time16,hBFA1:YPD-R2-16,hBFA1:YPD-R2,hBFA1,YPD,R2,16,1996011,-0.002956953990919091,660.9939024390244
hBFA1-YPD-R2-Time24,hBFA1:YPD-R2-24,hBFA1:YPD-R2,hBFA1,YPD,R2,24,1847952,-0.0026569859009473984,573.209349593496
hBFA1-YPD-R2-Time40,hBFA1:YPD-R2-40,hBFA1:YPD-R2,hBFA1,YPD,R2,40,2023457,-0.010628832770091586,461.7357723577236
hBFA1-pH3_8-R1-Time8,hBFA1:pH3.8-R1-8,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,8,1952835,0.0069458515345052485,693.1662310507057
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,16,2204561,-0.005760436344576688,776.9874542603241
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,24,2539318,0.00046788676458368726,864.3413486670152
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,40,2296210,0.023918605983476397,651.3125980135912
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,8,1711136,0.00916601625533674,563.5342995169082
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,16,2404233,0.002060370508263485,802.6
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,24,2823044,-0.013362468688089357,907.8666666666667
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,40,3102324,-0.0027891748733813665,849.0212560386474
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,8,2499948,-0.007640289090542346,846.1200578592093
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,16,2244076,-0.0036123413643730524,775.542912246866
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,24,2563277,0.010806190526517885,883.0250723240116
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,40,2719186,-0.0005262190877712312,912.480231436837
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,8,2757245,-0.006247946293326762,917.0566298342542
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,16,2680456,0.0025187346044240233,896.5704419889503
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,24,2585981,-0.0059103939133613136,873.2592081031307
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,40,2769573,-0.015001059155724597,897.3517495395948
