chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-8,hBFA1:21C-R1,hBFA1,21C,R1,8,1917150,-0.0007261425349248558,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-16,hBFA1:21C-R1,hBFA1,21C,R1,16,2168035,-0.0007217288141359928,786.6904008101302
hBFA1-21C-R1-Time24,hBFA1:21C-R1-24,hBFA1:21C-R1,hBFA1,21C,R1,24,2068099,-0.0007166723302013697,728.2917153421462
hBFA1-21C-R1-Time40,hBFA1:21C-R1-40,hBFA1:21C-R1,hBFA1,21C,R1,40,2118452,-0.0007125647708960615,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-8,hBFA1:21C-R2,hBFA1,21C,R2,8,2111700,0.14957512660283084,742.2044887780548
hBFA1-21C-R2-Time16,hBFA1:21C-R2-16,hBFA1:21C-R2,hBFA1,21C,R2,16,2150472,0.02756120596547482,766.1835524311524
hBFA1-21C-R2-Time24,hBFA1:21C-R2-24,hBFA1:21C-R2,hBFA1,21C,R2,24,2022493,-0.09445225001002955,774.0117252551198
hBFA1-21C-R2-Time40,hBFA1:21C-R2-40,hBFA1:21C-R2,hBFA1,21C,R2,40,2465801,-0.21646593652646473,670.5441396508728
hBFA1-37C-R1-Time8,hBFA1:37C-R1-8,hBFA1:37C-R1,hBFA1,37C,R1,8,1816186,-0.00017743501371738623,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-16,hBFA1:37C-R1,hBFA1,37C,R1,16,1992657,-0.00019789923409277535,694.3030927858173
hBFA1-37C-R1-Time24,hBFA1:37C-R1-24,hBFA1:37C-R1,hBFA1,37C,R1,24,2071290,-0.0002176339051312022,687.2618556702079
hBFA1-37C-R1-Time40,hBFA1:37C-R1-40,hBFA1:37C-R1,hBFA1,37C,R1,40,2032937,-0.00023395507613159036,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-8,hBFA1:37C-R2,hBFA1,37C,R2,8,2408886,-0.00021533871313296306,840.7478216299334
hBFA1-37C-R2-Time16,hBFA1:37C-R2-16,hBFA1:37C-R2,hBFA1,37C,R2,16,2371746,-0.0001774970776611705,827.768323934132
hBFA1-37C-R2-Time24,hBFA1:37C-R2-24,hBFA1:37C-R2,hBFA1,37C,R2,24,1886703,-0.0001320027644204661,628.2419272507642
hBFA1-37C-R2-Time40,hBFA1:37C-R2-40,hBFA1:37C-R2,hBFA1,37C,R2,40,2169673,-0.0001008646122063478,611.2901076371091
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,8,1374578,-0.006675043628295044,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,16,2073939,-0.008691369501655718,728.7730686637078
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,24,1913013,-0.010700011896500132,627.3855337304528
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,40,2727518,-0.012709405590947579,747.0858768753234
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,8,2527232,-0.0002326664951004201,903.0810531750129
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,16,2122894,-0.0002839099354891107,742.6344863279872
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,24,2181970,-0.0003448452296429334,716.0485286510657
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,40,2019366,-0.00040091512129820223,560.1032524522458
hBFA1-FLC4-R2-Time8,hBFA1:FLC4-R2-8,hBFA1:FLC4-R2,hBFA1,FLC4,R2,8,810857,-0.009829413418736535,698.9560439560439
hBFA1-FLC4-R2-Time16,hBFA1:FLC4-R2-16,hBFA1:FLC4-R2,hBFA1,FLC4,R2,16,338485,-0.019721850504323544,469.01435706506084
hBFA1-FLC4-R2-Time24,hBFA1:FLC4-R2-24,hBFA1:FLC4-R2,hBFA1,FLC4,R2,24,450288,-0.02971145673217832,465.7782293488645
hBFA1-FLC4-R2-Time40,hBFA1:FLC4-R2-40,hBFA1:FLC4-R2,hBFA1,FLC4,R2,40,501961,-0.0396550607175085,525.5384615384615
hBFA1-GlyEtOH-R1-Time8,hBFA1:GlyEtOH-R1-8,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,8,1648916,-0.058739964696950545,854.186936936937
hBFA1-GlyEtOH-R1-Time16,hBFA1:GlyEtOH-R1-16,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,16,1563435,-0.05370530955733587,695.6402566757719
hBFA1-GlyEtOH-R1-Time24,hBFA1:GlyEtOH-R1-24,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,24,1157783,-0.048662685074120866,530.6004020866295
hBFA1-GlyEtOH-R1-Time40,hBFA1:GlyEtOH-R1-40,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,40,2457444,-0.0436230670756233,408.81756756756755
hBFA1-GlyEtOH-R2-Time8,hBFA1:GlyEtOH-R2-8,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,8,1729100,-0.13568852392983916,659.2631166797181
hBFA1-GlyEtOH-R2-Time16,hBFA1:GlyEtOH-R2-16,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,16,3351420,-0.12074899217749413,948.7396817613368
hBFA1-GlyEtOH-R2-Time24,hBFA1:GlyEtOH-R2-24,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,24,2923374,-0.10579803728118553,735.7901138483444
hBFA1-GlyEtOH-R2-Time40,hBFA1:GlyEtOH-R2-40,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,40,2283582,-0.09084935363308422,188.79091620986688
hBFA1-SC-R1-Time8,hBFA1:SC-R1-8,hBFA1:SC-R1,hBFA1,SC,R1,8,1575308,-6.234804521702985e-05,599.010455104551
hBFA1-SC-R1-Time16,hBFA1:SC-R1-16,hBFA1:SC-R1,hBFA1,SC,R1,16,1552685,-5.962215664446799e-05,603.7915129221544
hBFA1-SC-R1-Time24,hBFA1:SC-R1-24,hBFA1:SC-R1,hBFA1,SC,R1,24,1584986,-5.7597664729629506e-05,599.2687576949243
hBFA1-SC-R1-Time40,hBFA1:SC-R1-40,hBFA1:SC-R1,hBFA1,SC,R1,40,1558740,-5.6257611657866365e-05,504.81242312423126
hBFA1-SC-R2-Time8,hBFA1:SC-R2-8,hBFA1:SC-R2,hBFA1,SC,R2,8,1883034,-0.21784911006461788,688.8059299191375
hBFA1-SC-R2-Time16,hBFA1:SC-R2-16,hBFA1:SC-R2,hBFA1,SC,R2,16,1737092,-0.21086293016416818,659.8861019870078
hBFA1-SC-R2-Time24,hBFA1:SC-R2-24,hBFA1:SC-R2,hBFA1,SC,R2,24,1867711,-0.20387933266440156,644.7720886269095
hBFA1-SC-R2-Time40,hBFA1:SC-R2-40,hBFA1:SC-R2,hBFA1,SC,R2,40,1759607,-0.19689183656415374,547.7266846361186
hBFA1-YPD-R1-Time8,hBFA1:YPD-R1-8,hBFA1:YPD-R1,hBFA1,YPD,R1,8,1328214,-0.0030755297548668197,445.36561743341406
