kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
A0,M3-R1-T0,M3-R1,M3,1,0,3347507.0,0.0027006541297131805,
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,0.030364888775923936,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,-0.10132854764109983,6274.210395426384
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,0.03389881951851027,464.5974850308873
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,-0.012225742776010294,1482.0
B0,M3-R2-T0,M3-R2,M3,2,0,9830037.0,0.0018351603862959292,
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,0.025257720357491565,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,-0.013953606338079539,13109.255887006444
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-0.10172639514188277,7857.519142457708
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,0.058373114821062715,13341.81300813008
C0,M3-R3-T0,M3-R3,M3,3,0,1413632.0,0.001535384727166344,
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,0.02279306292176179,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,-0.02508233033576662,11389.73312131547
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.026801417854553904,1528.7147093699286
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,0.016170258432495244,8043.067750677506
D0,M3-R4-T0,M3-R4,M3,4,0,1452457.0,0.0016394500179162863,
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.016769785687277154,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,0.00437816015251029,2519.872649169061
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,0.0025525221186630596,2528.2877600449306
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,-0.013243554246030792,2062.5765027322404
3-0,EC3-R1-T0,EC3-R1,EC3,1,0,609514.0,0.0022704686117202967,
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,0.07955943184769897,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,-0.12055409574083084,824.4591580092855
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-0.000603498696600744,477.9178234291887
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,0.039620808560497135,570.6216216216217
3-0,EC3-R2-T0,EC3-R2,EC3,2,0,609514.0,0.000470468951734728,
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,0.07615575488948395,1125.7368421052631
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,-0.04458904304921239,723.6670828837124
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,-0.13916653963220726,583.8295316783456
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,0.10764299475611899,351.9561403508772
3-0,EC3-R3-T0,EC3-R3,EC3,3,0,609514.0,0.002480624418719469,
3-1-3,EC3-R3-T1,EC3-R3,EC3,3,1,1259539.0,0.04882130615666451,846.5454545454545
3-2-3,EC3-R3-T2,EC3-R3,EC3,3,2,2051769.0,-0.10011567213050815,792.2081812769054
3-3-3,EC3-R3-T3,EC3-R3,EC3,3,3,2431569.0,0.05189669832259146,562.2447144269605
3-4-3,EC3-R3-T4,EC3-R3,EC3,3,4,3161827.0,-0.0019375633603129004,509.32323232323233
23-0,EC23-R1-T0,EC23-R1,EC23,1,0,1530803.0,0.00010623856950585588,
23-1-1,EC23-R1-T1,EC23-R1,EC23,1,1,1227998.0,-0.10198300425921282,1867.9824046920821
23-2-1,EC23-R1-T2,EC23-R1,EC23,1,2,1664821.0,-0.1315457258253759,1874.0163967440835
23-3-1,EC23-R1-T3,EC23-R1,EC23,1,3,1498190.0,0.552807765571509,1137.5545760586133
23-4-1,EC23-R1-T4,EC23-R1,EC23,1,4,1940380.0,-0.3275122476590328,927.7888563049853
23-0,EC23-R2-T0,EC23-R2,EC23,2,0,1530803.0,0.000301231024798878,
23-1-2,EC23-R2-T1,EC23-R2,EC23,2,1,1477496.0,-0.006416580489710559,2239.254385964912
23-2-2,EC23-R2-T2,EC23-R2,EC23,2,2,1960979.0,0.00848879098480632,2411.6119558278488
23-3-2,EC23-R2-T3,EC23-R2,EC23,2,3,2166322.0,-0.014656379016908621,1909.1406533334934
23-4-2,EC23-R2-T4,EC23-R2,EC23,2,4,2421463.0,0.0005819978988257383,1344.169590643275
23-0,EC23-R3-T0,EC23-R3,EC23,3,0,1530803.0,-0.004693471733697493,
23-1-3,EC23-R3-T1,EC23-R3,EC23,3,1,1229373.0,-0.06157119402243984,1912.1788856304986
23-2-3,EC23-R3-T2,EC23-R3,EC23,3,2,1839677.0,0.06441724210080654,2382.1794708117072
23-3-3,EC23-R3-T3,EC23-R3,EC23,3,3,1491357.0,0.03293399834621356,1476.3569618824556
23-4-3,EC23-R3-T4,EC23-R3,EC23,3,4,1807631.0,-0.051262816603431245,1324.7888563049853
21-0-1,EC21-R1-T0,EC21-R1,EC21,1,0,1984340.0,0.002057515288761902,
21-1-1,EC21-R1-T1,EC21-R1,EC21,1,1,648164.0,-0.016184217075578565,877.6873065015479
21-2-1,EC21-R1-T2,EC21-R1,EC21,1,2,1538389.0,-0.24484003514459873,1630.4936621403872
21-3-1,EC21-R1-T3,EC21-R1,EC21,1,3,1106350.0,0.5274117373499703,796.4220055925863
21-4-1,EC21-R1-T4,EC21-R1,EC21,1,4,1758008.0,-0.2729878707771163,839.3715170278638
21-0-1,EC21-R2-T0,EC21-R2,EC21,2,0,1984340.0,0.0023429028733381193,
21-1-2,EC21-R2-T1,EC21-R2,EC21,2,1,486568.0,-0.1068122389560918,687.8612099644129
21-2-2,EC21-R2-T2,EC21-R2,EC21,2,2,485523.0,0.043966777251662245,539.7250316808338
21-3-2,EC21-R2-T3,EC21-R2,EC21,2,3,1224148.0,0.23254593771388846,991.7334051222733
21-4-2,EC21-R2-T4,EC21-R2,EC21,2,4,1721069.0,-0.17099062678237237,964.1565836298932
21-0-1,EC21-R3-T0,EC21-R3,EC21,3,0,1984340.0,-0.00018997750478070522,
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,0.02930550660696098,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.03431332240679404,1552.8563351029802
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,-0.03083322555561853,1648.4381632308045
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.02857494600220272,1031.9823529411765
20-1-1,EC20-R1-T0,EC20-R1,EC20,1,0,398922.0,-0.0008987497157523271,
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,0.052836958702980275,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-0.10771650463885997,1495.9718426122638
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.052029510498019835,617.385294117647
20-1-2,EC20-R2-T0,EC20-R2,EC20,2,0,1296857.0,0.0006919560148516331,
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.023280361355307623,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.04788488794221886,1363.5886984884123
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.02340040579743753,1126.3441176470587
20-1-3,EC20-R3-T0,EC20-R3,EC20,3,0,1345720.0,-0.0005654893406328634,
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,0.06478330512772974,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,-0.1308784312757327,1633.5749287465858
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,0.06461365258967479,1741.8764705882354
18-1-1,EC18-R1-T0,EC18-R1,EC18,1,0,289364.0,-0.002509555966721025,
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,-0.02350778267996404,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,0.04645821749526703,963.2724493287274
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,-0.023587453756955524,1297.037037037037
18-1-2,EC18-R2-T0,EC18-R2,EC18,2,0,288742.0,0.0010801818310959815,
18-2-2,EC18-R2-T1,EC18-R2,EC18,2,1,265563.0,0.013489328397392851,197.30674846625766
18-3-2,EC18-R2-T2,EC18-R2,EC18,2,2,672289.0,-0.027259218517243326,297.5554556513646
18-4-2,EC18-R2-T3,EC18-R2,EC18,2,3,6473793.0,0.013400371088210664,1659.0981595092026
18-1-3,EC18-R3-T0,EC18-R3,EC18,3,0,197126.0,0.0007939704839512383,
18-2-3,EC18-R3-T1,EC18-R3,EC18,3,1,1361173.0,0.029915904447656988,912.0669144981413
18-3-3,EC18-R3-T2,EC18-R3,EC18,3,2,2640350.0,-0.06143673953333049,1060.1199661395528
18-4-3,EC18-R3-T3,EC18-R3,EC18,3,3,3884866.0,0.029657053687753825,824.9665427509294
13-0,EC13-R1-T0,EC13-R1,EC13,1,0,21149.0,-0.003503571270996124,
13-1-1,EC13-R1-T1,EC13-R1,EC13,1,1,1138999.0,-0.010154184353051016,1064.1460674157304
13-2-1,EC13-R1-T2,EC13-R1,EC13,1,2,2399880.0,0.021659959690129356,1325.356581420035
